Film ,Lead Studio,Rotten Tomatoes,Audience Score,Story,Genre,Number of Theatres in US Opening Weekend,Box Office Average per US Cinema (Opening Weekend),Domestic Gross,Foreign Gross,Worldwide Gross,Budget,Profitability,Opening Weekend,Year
Marmaduke,Fox,9,46,Rivalry,Comedy,3213,3610,33.64,49.71,83.36,50.00,166.72%,11.60,2010
Swing Vote,Disney,36,44,Maturation,Comedy,2213,2815,16.29,1.34,33.40,20.00,167.00%,6.23,2008
Prince of Persia: The Sands of Time,Disney,36,71,Rivalry,Action,3646,3646,90.76,244.39,335.15,200.00,167.58%,30.00,2010
Adventureland ,,89,56,Maturation,Comedy,1862,3073,16.04,0.01,16.05,9.50,169.00%,5.70,2009
Meet the Robinsons,Disney,66,75,Quest,Animation,3413,7361,97.82,71.51,169.33,100.00,169.33%,25.10,2007
Beastly,CBS Films,19,50,Metamorphosis,Romance,1952,5047,27.87,0.97,28.83,17.00,169.61%,9.85,2011
The Tree Of Life,Independent,84,61,Discovery,Drama,4,93230,13.30,41.00,54.30,32.00,169.70%,0.37,2011
A Christmas Carol,Disney,52,72,Transformation,Animation,3683,8159,137.90,185.70,323.60,190.00,170.00%,30.10,2009
The Other Guys,Sony,78,57,Comedy,Action,3651,9735,119.22,51.05,170.27,100.00,170.27%,35.50,2010
Tron: Legacy,Independent,50,67,Fish Out Of Water,Action,3451,12578,148.21,143.20,291.41,170.00,171.42%,44.03,2010
Leap Year,Universal,21,49,Love,Comedy,2511,3665,25.90,6.69,32.61,19.00,171.63%,9.20,2010
Something Borrowed,Independent,14,49,Love,Romance,2904,4802,39.05,21.14,60.18,35.00,171.95%,13.95,2011
Space Chimps,Independent*,36,37,Transformation,Animation,2511,2860,30.11,34.73,63.80,37.00,172.43%,7.18,2008
Disaster Movie,Lionsgate,2,28,Rescue,Comedy,2642,2209,14.19,20.62,34.50,20.00,172.50%,5.80,2008
The Invention of Lying ,,56,47,Love,Comedy,1707,4117,23.10,8.50,32.00,18.50,173.00%,7.00,2009
G.I. Joe: The Rise of Cobra ,Paramount,33,62,Pursuit,Action,4007,13654,150.20,151.90,302.10,175.00,173.00%,54.70,2009
Larry Crowne,Universal,34,46,Discovery,Drama,2973,4405,35.61,16.80,52.41,30.00,174.69%,13.10,2011
Legend of the Guardians: The Owls of Ga'Hoole,Warner Bros.,51,65,Rivalry,Animation,3575,4507,55.64,84.26,139.90,80.00,174.88%,16.10,2010
Surf's Up,Sony,78,64,Discovery,Animation,3528,5000,58.87,90.18,149.04,85.00,175.35%,17.60,2007
In the Land of Women,Warner Bros.,43,72,Transformation,Comedy,2155,2186,11.05,6.51,17.56,10.00,175.62%,4.70,2007
The Spiderwick Chronicles,Paramount,79,67,Fish Out Of Water,Fantasy,3847,4940,71.20,91.64,162.80,92.50,176.00%,19.00,2008
The Three Musketeers,Independent,24,48,Rivalry,Action,3017,2875,20.25,111.90,132.15,75.00,176.20%,8.67,2011
Kit Kittredge: An American Girl,Warner Bros.,78,26,The Riddle,Drama,,,17.66,N/A,17.70,10.00,177.00%,3.30,2008
The A-Team,Fox,47,71,Pursuit,Action,3535,7262,77.22,99.81,177.03,100.00,177.03%,25.70,2010
Hot Tub Time Machine,MGM,64,57,Journey and Return,Adventure,2754,5091,50.29,14.13,64.42,36.00,178.94%,14.00,2010
A Very Harold and Kumar Christmas,Lionsgate,72,71,Comedy,Comedy,2875,4506,34.04,??,34.04,19.00,179.18%,12.95,2011
For Colored Girls,Independent,33,73,Discovery,Drama,2127,9167,37.69,17.32,37.70,21.00,179.52%,19.50,2010
Just Wright,Fox,45,58,Love,Comedy,1831,4525,21.54,0.03,21.57,12.00,179.75%,8.30,2010
Lions for Lambs,,27,48,Quest,Drama,2215,3025,15.00,48.21,63.21,35.00,180.60%,6.70,2007
My Best Friend's Girl,Lionsgate,14,51,Comedy,Comedy,2604,3174,19.22,22.40,36.20,20.00,181.00%,8.27,2008
Rango,Paramount,88,69,Fish Out Of Water,Animation,3917,9722,123.26,121.90,245.15,135.00,181.60%,38.08,2011
Love & Other Drugs,Fox,48,55,Love,Comedy,2455,3967,31.68,22.85,54.53,30.00,181.77%,9.74,2010
Love Happens ,,18,40,Love,Drama,1898,4245,22.90,11.20,33.10,18.00,184.00%,8.10,2009
Rush Hour 3,Warner Bros.,20,68,Rescue,Action,3778,12996,140.13,117.90,258.02,140.00,184.30%,49.10,2007
Cop Out,Warner Bros.,19,45,The Riddle,Action,3150,5781,44.88,10.64,55.52,30.00,185.07%,18.21,2010
Vacancy,Sony,55,46,Pursuit,Comedy,2551,2980,19.36,15.94,35.30,19.00,185.79%,7.60,2007
Terminator Salvation ,Independent,33,64,Monster Force,Action,3530,12056,125.30,246.70,372.00,200.00,186.00%,42.60,2009
Wall Street: Money Never Sleeps,Independent,54,43,Rivalry,Drama,3565,5333,52.47,78.16,130.63,70.00,186.61%,19.00,2010
Four Christmases,Warner Bros.,26,52,Love,Comedy,,,118.25,43.58,149.60,80.00,187.00%,31.07,2008
The Lincoln Lawyer,Lionsgate,84,82,Fish Out Of Water,Drama,2707,4879,58.01,17.00,75.01,40.00,187.52%,13.21,2011
The Green Hornet,Columbia,44,47,Rivalry,Action,3584,9335,98.80,129.00,227.80,120.00,189.83%,33.50,2011
The Incredible Hulk,Universal,67,75,Metamorphosis,Action,3505,15810,134.53,128.62,262.50,137.50,190.91%,55.14,2008
Bee Movie,Paramount,52,57,Journey and Return,Animation,3928,9679,126.63,160.49,287.12,150.00,191.42%,38.00,2007
The Book of Eli        ,Independent,48,68,Quest,Action,3111,10540,94.84,58.62,153.45,80.00,191.81%,32.70,2010
Hellboy II: The Golden Army,Universal,87,70,Sacrifice,Action,3204,10780,75.79,84.40,158.90,82.50,192.61%,34.50,2008
Bolt,Disney,89,76,Rescue,Animation,3651,7182,109.90,195.93,289.30,150.00,192.87%,26.20,2008
Whatever Works ,,50,63,Discovery,Comedy,9,29574,5.30,23.70,29.00,15.00,193.00%,0.26,2009
The Other Boleyn Girl,Independent,41,65,Tragedy,Drama,1166,7035,26.81,50.90,77.20,40.00,193.00%,8.20,2008
Law Abiding Citizen ,,25,77,Revenge,Crime,2890,7280,73.40,29.10,102.50,53.00,193.00%,21.00,2009
Stardust,Paramount,76,86,Quest,Adventure,2540,3610,38.63,96.92,135.56,70.00,193.66%,9.16,2007
Dragonball Evolution ,,15,28,Quest,Action,2181,2181,9.36,48.87,58.23,30.00,194.00%,4.80,2009
The X-Files: I Want to Believe,Fox,32,34,Monster Force,Thriller,3185,3147,20.98,47.39,68.30,35.00,195.14%,10.10,2008
Step Brothers,Sony,54,68,Comedy,Comedy,3094,10000,100.47,27.64,128.00,65.00,196.92%,30.94,2008
License to Wed,Warner Bros.,8,55,Love,Comedy,2604,4002,43.80,25.51,69.31,35.00,198.02%,10.40,2007
Never Back Down,,23,37,Rivalry,Action,2729,3152,24.85,16.78,41.60,21.00,198.10%,8.60,2008
Monte Carlo,20th Century Fox,38,50,Love,Romance,2473,3014,23.18,16.48,39.66,20.00,198.32%,7.45,2011
The Darjeeling Limited,Fox,67,79,Journey and Return,Drama,698,2523,11.90,23.02,34.92,17.50,199.53%,1.80,2007
The Men Who Stare at Goats ,Independent,52,43,Comedy,Comedy,2443,5201,32.40,15.80,48.20,24.00,201.00%,12.70,2009
The Curious Case of Benjamin Button,Warner Bros.,73,81,Love,Drama,2988,8987,79.01,206.42,322.00,160.00,201.25%,26.85,2008
Transporter 3,Independent,36,58,Escape,Action,2626,4594,31.72,77.26,60.90,30.00,203.00%,12.06,2008
Coraline ,Universal,89,77,Journey and Return,Animation,2299,7329,75.30,46.60,121.90,60.00,203.00%,16.80,2009
Marley and Me,Fox,63,77,Love,Comedy,3480,10448,106.51,99.56,111.80,55.00,203.27%,36.36,2008
Ghosts of Girlfriends Past ,,27,47,Love,Comedy,3175,4854,51.50,48.40,101.90,50.00,204.00%,15.40,2009
The Time Traveler's Wife ,Paramount,38,65,Love,Drama,2988,6233,40.60,37.60,79.70,39.00,204.00%,18.60,2009
Moneyball,Columbia,95,89,Underdog,Drama,2993,6516,74.21,27.90,102.11,50.00,204.22%,19.50,2011
The Golden Compass,Warner Bros.,42,55,Rescue,Action,3528,7308,70.11,302.13,372.23,180.00,206.80%,25.70,2007
Ghost Rider,Sony,28,56,Monster Force,Action,3619,12541,115.80,112.94,228.74,110.00,207.94%,45.30,2007
Tropic Thunder,Paramount,83,69,Fish Out Of Water,Comedy,3319,7777,110.46,77.58,188.00,90.00,208.89%,25.81,2008
Over Her Dead Body,,15,47,Love,Comedy,,,0.00,,20.90,10.00,209.00%,4.03,2008
Public Enemies ,,67,65,Underdog,Biography,3334,7580,97.10,117.00,214.10,102.50,209.00%,25.20,2009
Mirrors,Independent,14,49,Monster Force,Horror,2664,4190,30.69,46.80,73.40,35.00,209.71%,11.20,2008
The Chronicles of Narnia: Prince Caspian,Disney,66,78,Fish Out Of Water,Action,3929,14007,141.62,278.04,419.60,200.00,209.80%,55.03,2008
Tyler Perry's Meet the Browns,Independent,31,36,Discovery,Drama,2006,10011,41.98,0.00,41.98,20.00,209.90%,20.08,2008
Race to Witch Mountain ,,42,50,Quest,Action,3187,7651,67.17,37.93,105.10,50.00,210.00%,24.40,2009
Machete,Independent,73,66,Revenge,Action,2670,4276,26.59,15.55,42.15,20.00,210.75%,11.00,2010
Gulliver's Travels,Fox,21,31,Journey and Return,Comedy,2546,2477,42.00,194.00,237.38,112.00,211.95%,6.30,2010
Red Riding Hood,Warner Bros,11,41,Monster Force,Horror,3030,4622,37.66,51.50,89.16,42.00,212.29%,14.01,2011
Hanna,Universal,71,67,Quest,Action,2535,4880,40.26,23.52,63.78,30.00,212.60%,12.37,2011
The Last Airbender,Paramount,6,42,Quest,Action,3169,12725,131.77,187.35,319.12,150.00,212.75%,40.30,2010
Zookeeper,Happy Madison Productions,14,42,Comedy,Comedy,3482,5763,80.36,89.94,170.30,80.00,212.88%,20.07,2011
The Heartbreak Kid,Paramount,30,41,Love,Comedy,3229,4342,36.79,90.98,127.77,60.00,212.94%,14.00,2007
Takers,Sony,27,57,Rivalry,Action,2206,9298,57.74,10.42,68.16,32.00,213.00%,20.50,2010
Notorious,Fox,50,66,Tragedy,Biography,1638,12514,20.40,19.00,40.50,19.00,213.00%,20.50,2009
Cloudy with a Chance of Meatballs ,Sony,86,70,Comedy,Animation,3119,9716,124.90,87.80,212.70,100.00,213.00%,30.30,2009
In Bruges,Independent,81,85,Fish Out Of Water,Crime,,,7.80,25.59,32.00,15.00,213.33%,0.46,2008
Brooklyn's Finest,Independent,42,47,Temptation,Action,1936,6896,27.20,9.15,36.31,17.00,213.59%,13.40,2010
Not Easily Broken ,,34,66,Love,Drama,724,7340,10.60,0.14,10.70,5.00,214.00%,5.30,2009
Monsters Vs. Aliens ,Paramount,72,65,Monster Force,Animation,4104,14454,198.40,183.20,381.50,175.00,218.00%,59.30,2009
Puss In Boots,DreamWorks,83,76,Quest,Animation,3952,8623,142.09,142.30,284.39,130.00,218.76%,34.08,2011
I Now Pronounce You Chuck and Larry,Universal,13,73,Comedy,Comedy,3495,9795,120.06,65.99,186.05,85.00,218.89%,34.20,2007
Lakeview Terrace,Sony,46,44,Rivalry,Crime,2464,6090,39.26,5.39,43.80,20.00,219.00%,15.00,2008
Eagle Eye,Paramount,27,72,Pursuit,Action,3510,8305,101.18,76.62,175.90,80.00,219.88%,29.20,2008
The Back-up Plan,CBS,20,47,Love,Comedy,3280,3720,37.49,39.60,77.10,35.00,220.29%,12.20,2010
Expelled: No Intelligence Allowed,,10,42,Comedy,Documentary,1052,2824,7.72,0.00,7.72,3.50,220.57%,2.97,2008
X-Men: First Class,Disney,87,88,Monster Force,Action,3641,15134,146.41,207.22,353.62,160.00,221.01%,55.10,2011
Fantastic Four: Rise of the Silver Surfer,Fox,35,55,Monster Force,Action,3959,14663,131.92,157.13,289.05,130.00,222.34%,58.00,2007
One Missed Call,,0,36,Monster Force,Horror,2240,5585,26.89,,44.50,20.00,222.50%,12.50,2008
Knight and Day,Fox,53,52,Pursuit,Action,3098,6501,76.42,185.26,261.68,117.00,223.66%,20.20,2010
The Mummy: Tomb of the Dragon Emperor,,14,40,Quest,Action,3760,10760,102.28,,393.20,175.00,224.69%,40.50,2008
Contagion,Warner Bros,84,63,The Riddle,Thriller,3222,6935,75.64,59.80,135.44,60.00,225.74%,22.40,2011
Yes Man,Warner Bros.,43,72,Transformation,Comedy,3434,5318,79.41,,113.40,50.00,226.80%,18.26,2008
The Debt,Universal,76,70,Pursuit,Thriller,1826,5427,31.18,14.25,45.43,20.00,227.15%,9.91,2011
Get Him to the Greek,Universal,73,63,Comedy,Comedy,2697,6515,60.97,30.42,91.39,40.00,228.48%,17.60,2010
Season Of The Witch,Relativity ,10,32,Monster Force,Action,2816,3769,24.80,66.80,91.60,40.00,229.00%,12.00,2011
The American,Universal,66,37,Rivalry,Crime,2823,4668,35.61,10.39,46.00,20.00,230.00%,13.10,2010
The Day the Earth Stood Still ,Fox,19,34,Sacrifice,Thriller,3560,8562,74.30,153.73,230.00,100.00,230.00%,30.50,2008
Hall Pass,Warner Bros,35,44,Temptation,Comedy,2950,4588,45.06,38.10,83.16,36.00,231.00%,13.54,2011
Little Fockers,Independent,9,40,Comedy,Comedy,3536,8720,123.69,109.01,232.70,100.00,232.70%,30.83,2010
Death at a Funeral,Independent,40,48,Comedy,Comedy,2459,6595,42.74,6.31,49.05,21.00,233.57%,16.20,2010
Tooth Fairy,Fox,16,46,Comedy,Comedy,3344,4190,60.02,52.34,112.36,48.00,234.08%,14.00,2010
The Forbidden Kingdom,Relativity Media,64,65,Journey and Return,Action,3151,6791,52.08,75.90,128.80,55.00,234.18%,21.40,2008
Abduction,Vertigo Entertainment,4,46,Maturation,Action,3118,3504,28.07,54.00,82.07,35.00,234.48%,10.93,2011
30 Days of Night,Independent,50,57,Monster Force,Horror,2855,5587,39.57,35.53,75.10,32.00,234.67%,15.60,2007
The Nanny Diaries,The Weinstein Company,33,52,Discovery,Comedy,2629,2845,25.93,21.07,47.00,20.00,235.00%,7.50,2007
The Princess and the Frog ,,84,72,Metamorphosis,Animation,3434,7050,104.30,143.00,247.30,105.00,236.00%,24.20,2009
Good Luck Chuck,,3,61,Love,Comedy,2612,5226,35.02,24.17,59.19,25.00,236.77%,13.70,2007
Dolphin Tale,Independent,84,81,Quest,Drama,3507,5461,71.08,16.86,87.95,37.00,237.69%,19.15,2011
Role Models,Universal,77,75,Discovery,Comedy,2792,6865,66.69,25.09,66.70,28.00,238.21%,19.17,2008
Rambo,Lionsgate,36,70,Rescue,Action,2751,6617,42.75,,113.20,47.50,238.32%,18.20,2008
Percy Jackson & the Olympians: The Lightning Thief,Fox,50,57,Rivalry,Action,3356,9308,88.77,137.73,226.50,95.00,238.42%,31.20,2010
Blades of Glory,Paramount,69,66,Rivalry,Comedy,3372,9790,118.59,27.11,145.71,61.00,238.87%,33.00,2007
Max Payne,Fox,16,36,Revenge,Action,3376,5225,40.66,44.73,84.20,35.00,240.57%,17.60,2008
Mr. Brooks,MGM,56,75,Temptation,Thriller,2453,4083,28.55,19.57,48.12,20.00,240.61%,10.00,2007
I Am Number Four,Paramount,32,57,Maturation,Thriller,3154,6167,55.10,89.40,144.50,60.00,240.83%,19.45,2011
Scream 4,Weinstein Company,58,57,Monster Force,Horror,3305,5656,38.18,58.96,97.14,40.00,242.84%,18.69,2011
Immortals,Relativity Media,36,59,Revenge,Action,3112,10349,80.49,102.00,182.49,75.00,243.31%,32.21,2011
She's Out of My League,Paramount,57,60,Love,Comedy,2956,3307,32.01,16.80,48.81,20.00,244.05%,9.80,2010
Paul,Relativity,72,70,Comedy,Comedy,2802,4655,37.41,60.57,97.98,40.00,244.96%,13.04,2011
Real Steel,DreamWorks Pictures,58,81,Underdog,Action,3440,7942,83.61,186.20,269.81,110.00,245.28%,27.32,2011
Valkyrie,MGM,58,66,Sacrifice,Thriller,2711,7756,60.69,117.20,184.00,75.00,245.33%,21.03,2008
Soul Surfer,Sony,46,79,Underdog,Drama,2214,4789,43.85,0.41,44.27,18.00,245.93%,10.60,2011
Quantum of Solace,MGM,64,62,Revenge,Action,3451,19568,166.80,,567.00,230.00,246.52%,67.50,2008
Megamind,Paramount,72,73,Transformation,Animation,3944,9743,144.67,173.46,321.88,130.00,247.60%,46.02,2010
X-Men Origins: Wolverine ,Fox,37,72,Revenge,Action,4099,20751,179.90,193.20,373.10,150.00,249.00%,85.10,2009
The Hills Have Eyes 2,Independent,11,50,Monster Force,Horror,2447,3958,20.80,16.66,37.47,15.00,249.77%,9.70,2007
Milk,Universal,94,88,Quest,Biography,36,40385,31.84,18.32,50.16,20.00,250.80%,1.50,2008
Halloween II,,20,45,Escape,Horror,3025,5405,31.70,5.80,37.70,15.00,251.00%,16.30,2009
The Switch,Independent,52,44,Comedy,Comedy,2012,4193,27.78,19.95,47.73,19.00,251.21%,8.40,2010
Hachiko: A Dog's Story,Independent,58,85,Sacrifice,Drama,,,0.00,40.26,40.26,16.00,251.63%,18.00,2010
You Don't Mess with the Zohan,Sony,36,50,Fish Out Of Water,Comedy,3462,11130,100.02,,201.80,80.00,252.25%,38.53,2008
Nights in Rodanthe,,31,56,Discovery,Drama,2704,4962,41.74,,75.70,30.00,252.33%,13.42,2008
All About Steve ,,6,35,Comedy,Comedy,2251,4994,33.86,4.07,37.93,15.00,253.00%,11.20,2009
Orphan ,,55,65,Escape,Horror,2750,4681,68.30,5.50,75.80,30.00,253.00%,12.80,2009
Life as We Know It,Independent,28,62,Love,Comedy,3150,4605,53.13,43.03,96.16,38.00,253.05%,14.50,2010
The Roommate,Independent,4,29,Monster Force,Horror,2534,5921,37.30,3.19,40.49,16.00,253.08%,15.00,2011
Margin Call,Independent,86,73,Sacrifice,Thriller,,,4.94,3.93,8.87,3.50,253.40%,0.56,2011
The Duchess,Paramount,60,68,Love,Drama,,,13.85,29.46,34.30,13.50,254.07%,3.30,2008
The Adjustment Bureau,Independent,72,67,Sacrifice,Thriller,2840,7450,62.50,65.37,127.87,50.20,254.72%,21.16,2011
The Haunting in Connecticut ,,17,51,Monster Force,Drama,2732,8420,42.70,33.80,76.80,30.00,256.00%,23.00,2009
"10,000 B.C.",Warner Bros.,9,44,Rescue,Adventure,3410,10518,94.78,175.00,269.10,105.00,256.29%,35.90,2008
"Daybreakers	",Lionsgate,67,50,Discovery,Action,2523,6003,30.10,21.31,51.42,20.00,257.10%,15.10,2010
Footloose,Spyglass Entertainment,71,71,Transformation,Drama,2199,4761,51.16,10.90,62.05,24.00,258.55%,15.56,2011
The Rite,Warner Bros,20,43,Monster Force,Horror,2985,4955,33.00,63.00,96.00,37.00,259.46%,14.80,2011
Underworld: Rise of the Lycans ,Sony,30,68,Rivalry,Action,2942,7080,37.00,50.80,91.10,35.00,260.00%,20.80,2009
We Own the Night,Sony,55,63,Sacrifice,Drama,2362,4583,28.56,26.26,54.83,21.00,261.08%,10.80,2007
Legion,Independent,19,36,Monster Force,Action,2476,7069,40.17,27.74,67.91,26.00,261.19%,17.50,2010
Captain America: The First Avenger,Disney,78,75,Metamorphosis,Action,3715,17512,176.65,191.75,368.40,140.00,263.15%,65.06,2011
Letters to Juliet,Summit,40,62,Love,Comedy,2968,4562,53.03,26.15,79.18,30.00,263.93%,13.50,2010
The Boy in the Striped Pyjamas,Independent,63,84,Tragedy,Drama,,,8.70,31.37,33.00,12.50,264.00%,1.03,2008
Made of Honor,Sony,13,61,Love,Comedy,2729,5407,46.01,59.95,106.00,40.00,265.00%,14.76,2008
Norbit,Paramount,9,56,Comedy,Comedy,3136,10904,95.67,63.64,159.31,60.00,265.52%,34.20,2007
Nanny McPhee Returns,Universal,77,54,Comedy,Comedy,2784,3020,29.01,64.23,93.25,35.00,266.43%,8.40,2010
Salt,Sony,62,62,Revenge,Action,3612,9970,118.31,175.19,293.50,110.00,266.82%,36.00,2010
Crank: High Voltage ,,62,54,Pursuit,Action,2223,3133,13.70,20.80,34.50,12.90,267.00%,7.00,2009
All About Steve ,Independent,6,35,Comedy,Comedy,2251,4994,33.86,6.26,40.13,15.00,267.53%,11.20,2010
American Gangster,Universal,79,87,Pursuit,Thriller,3054,14264,130.16,137.74,267.90,100.00,267.90%,43.60,2007
The Chronicles of Narnia: The Voyage of the Dawn Treader,Fox,49,63,Quest,Adventure,3555,6752,104.00,311.00,415.68,155.00,268.18%,24.00,2010
Just Go With It,Happy Madison,19,63,Comedy,Romance,3548,8601,103.03,111.92,214.95,80.00,268.68%,30.51,2011
Jumper,Fox,16,50,Rescue,Action,3428,7980,80.17,142.06,222.20,82.50,269.33%,27.40,2008
Nim's Island,Independent,51,50,Rescue,Adventure,3513,3760,48.01,52.07,99.90,37.00,270.00%,13.20,2008
Hairspray,Warner Bros.,92,84,Underdog,Musical,3121,8803,118.87,83.68,202.55,75.00,270.06%,27.50,2007
TMNT,,33,63,Monster Force,Action,3110,7799,54.15,40.86,95.01,35.00,271.46%,24.30,2007
The Happening,,19,29,Escape,Thriller,2986,10220,64.51,,163.40,60.00,272.33%,30.52,2008
The Crazies,Liberty Starz,72,54,Monster Force,Horror,2476,6489,39.12,15.47,54.59,20.00,272.95%,16.07,2010
Spy Kids: All The Time in the World,Weinstein Company,22,40,Quest,Action,3295,3534,38.54,35.54,74.08,27.00,274.37%,11.64,2011
Night at the Museum: Battle of the Smithsonian ,Fox,43,60,Quest,Action,4096,13226,177.20,235.80,413.00,150.00,275.00%,54.20,2009
Star Trek ,Paramount,94,91,Revenge,Action,3849,19539,257.70,127.80,385.50,140.00,275.00%,75.20,2009
Mr. Magorium's Wonder Emporium,Independent,36,56,Transformation,Fantasy,3164,3043,32.06,36.89,68.95,25.00,275.79%,6.90,2007
Cars 2,Pixar,38,56,Fish Out Of Water,Animation,4115,16072,191.45,360.40,551.85,200.00,275.93%,66.14,2011
Date Night,Fox,66,58,Pursuit,Comedy,3374,7471,98.71,53.55,152.26,55.00,276.84%,25.20,2010
Couples Retreat ,Universal,12,47,Comedy,Comedy,3000,11429,109.20,57.20,166.40,60.00,277.00%,34.30,2009
The Tourist,Sony,20,44,Love,Drama,2756,5977,67.00,210.00,278.34,100.00,278.34%,16.00,2010
The House Bunny,,39,54,Discovery,Comedy,2714,5355,0.00,,70.00,25.00,280.00%,14.53,2008
Gamer ,,29,43,Revenge,Action,2502,3659,20.53,14.53,35.10,12.50,281.00%,9.20,2009
Wild Hogs,Disney,14,72,Transformation,Comedy,3287,12077,168.27,85.35,253.63,90.00,281.81%,39.70,2007
WALL-E,Disney,96,89,Love,Animation,3992,15803,223.78,,507.30,180.00,281.83%,63.09,2008
Meet the Spartans,Independent,2,31,Comedy,Comedy,2605,7104,38.23,46.41,84.60,30.00,282.00%,18.51,2008
Red,Summit,71,72,Rivalry,Action,3255,6686,89.84,74.58,164.42,58.00,283.48%,21.80,2010
"Crazy, Stupid, Love",Warner Bros,78,81,Discovery,Romance,3020,6326,84.34,58.50,142.84,50.00,285.68%,19.10,2011
The Women,Warner Bros.,13,41,Transformation,Drama,2962,3415,26.90,23.11,46.10,16.00,288.13%,10.12,2008
Get Smart,Warner Bros.,51,73,Pursuit,Action,3911,9891,130.32,100.37,230.50,80.00,288.13%,38.70,2008
Sex and the City 2,Warner Bros.,15,49,Love,Comedy,3445,3445,95.35,193.00,288.35,100.00,288.35%,31.00,2010
Drag Me to Hell ,Universal,92,61,Monster Force,Horror,2508,6310,77.20,8.10,86.70,30.00,289.00%,15.80,2009
It's Complicated ,Universal,56,63,Love,Comedy,2887,7655,112.73,105.40,218.10,75.00,291.00%,22.10,2009
Hop,Relativity Media,26,50,Fish Out Of Water,Animation,3579,10490,108.09,75.87,183.95,63.00,291.99%,37.54,2011
Sunshine Cleaning ,,72,59,Transformation,Comedy,,,12.10,2.50,14.60,5.00,292.00%,0.90,2009
A Serious Man ,Universal,89,64,Love,Drama,6,41890,9.20,7.10,20.50,7.00,293.00%,0.30,2009
Julie & Julia ,,74,69,Underdog,Biography,2354,8508,73.00,43.90,118.60,40.00,297.00%,20.00,2009
The Haunting of Molly Hartley,,3,22,Sacrifice,Horror,2352,2045,13.56,1.33,14.89,5.00,297.80%,5.40,2008
First Sunday,Independent,13,59,Comedy,Comedy,2213,8004,37.93,0.87,38.80,13.00,298.46%,17.70,2008
Thor,Disney,77,80,Monster Force,Action,3955,16618,181.03,267.48,448.51,150.00,299.01%,65.72,2011
How to Train Your Dragon,Paramount,98,90,Underdog,Animation,4055,10785,217.58,277.30,494.88,165.00,299.93%,43.70,2010
Battle: Los Angeles,Relativity Media,35,50,Monster Force,Action,3417,10411,83.55,128.27,211.82,70.00,302.60%,35.57,2011
Daddy Day Camp,Sony,1,63,Comedy,Comedy,2332,1459,13.24,4.96,18.20,6.00,303.29%,3.40,2007
Why Did I Get Married Too?,Lionsgate,27,67,Comedy,Comedy,2155,13591,60.09,0.58,60.67,20.00,303.35%,29.30,2010
There Will Be Blood,Paramount,91,84,Wretched Excess,Drama,885,5502,40.22,35.96,76.18,25.00,304.73%,4.90,2007
"I Love You, Man ",,83,72,Comedy,Comedy,2711,6570,71.40,20.00,91.40,30.00,305.00%,17.80,2009
Sweeney Todd: The Demon Barber of Fleet Street,Warner Bros.,86,81,Revenge,Musical,1249,7446,52.90,99.63,152.52,50.00,305.05%,9.30,2007
Water For Elephants,20th Century Fox,60,72,Love,Drama,2817,5979,58.71,58.39,117.09,38.00,308.14%,16.84,2011
Madagascar: Escape 2 Africa,Paramount,64,73,Journey and Return,Animation,4056,1559,176.93,423.89,462.30,150.00,308.20%,63.11,2008
Quarantine,Sony,59,46,Monster Force,Horror,2461,5775,31.69,,37.20,12.00,310.00%,14.20,2008
