Film ,Lead Studio,Rotten Tomatoes,Audience Score,Story,Genre,Number of Theatres in US Opening Weekend,Box Office Average per US Cinema (Opening Weekend),Domestic Gross,Foreign Gross,Worldwide Gross,Budget,Profitability,Opening Weekend,Year
Bruno ,Universal,68,48,Comedy,Comedy,2756,11110,60.10,70.70,130.80,42.00,311.00%,30.60,2009
Iron Man 2,Paramount,74,80,Rivalry,Action,4380,29252,312.43,309.62,622.10,200.00,311.05%,128.10,2010
Iron Man,Paramount,94,91,Metamorphosis,Action,4105,24024,318.31,266.76,581.90,186.00,312.85%,98.62,2008
The Mist,The Weinstein Company,72,64,Monster Force,Horror,2423,3686,25.59,31.24,56.83,18.00,315.72%,8.90,2007
Kung Fu Panda,Paramount,88,83,Underdog,Animation,4114,14642,215.43,416.31,631.90,200.00,315.95%,60.24,2008
Predators,Fox,64,52,Monster Force,Action,2669,9277,52.00,74.74,126.74,40.00,316.85%,24.80,2010
Nick and Norah's Infinite Playlist,,73,67,Love,Comedy,2421,4672,31.49,,31.70,10.00,317.00%,11.31,2008
The Fourth Kind ,,18,44,Monster Force,Mystery,2527,4840,26.22,5.50,31.72,10.00,317.00%,12.20,2009
Prom Night,Independent,8,46,Escape,Horror,2700,7705,43.87,,57.20,18.00,317.78%,20.81,2008
Street Kings,Fox,37,62,The Riddle,Action,2467,5054,26.42,39.15,63.60,20.00,318.00%,12.50,2008
In Time,Regency Enterprises,38,55,The Riddle,Thriller,3122,3860,36.49,90.90,127.39,40.00,318.48%,12.05,2011
The Bank Job,Independent,78,74,Quest,Thriller,1603,3702,30.06,34.76,63.80,20.00,319.00%,5.94,2008
Pirates of the Caribbean: At World's End,Disney,45,74,Rescue,Action,4362,26302,309.42,651.58,961.00,300.00,320.33%,114.70,2007
Kick-Ass,Independent,76,83,Rivalry,Action,3065,6469,48.07,48.06,96.13,30.00,320.43%,19.80,2010
Alien vs. Predator -- Requiem,Fox,14,37,Monster Force,Horror,2611,3853,41.80,87.09,128.88,40.00,322.21%,10.00,2007
Angels & Demons ,Sony,36,65,The Riddle,Mystery,3527,13100,133.40,352.60,485.90,150.00,324.00%,46.20,2009
A Nightmare on Elm Street,Warner Bros.,13,40,Monster Force,Horror,3332,9875,63.08,52.59,115.66,35.00,330.46%,32.90,2010
No Reservations,,39,64,Love,Comedy,2425,4826,43.11,49.49,92.60,28.00,330.72%,11.70,2007
Piranha 3-D,The Weinstein Company,74,45,Monster Force,Comedy,2470,4092,25.00,54.78,79.78,24.00,332.42%,10.10,2010
Next Day Air ,,21,27,Comedy,Action,1138,3613,10.00,0.00,10.00,3.00,333.00%,4.10,2009
My Sister's Keeper ,,47,73,Escape,Drama,2606,4774,71.40,20.00,91.70,27.50,333.00%,12.40,2009
"Grown Ups	",Independent,10,59,Comedy,Comedy,3534,11462,161.90,105.50,267.40,80.00,334.25%,40.50,2010
The Expendables,Independent,40,58,Pursuit,Action,3270,10650,103.07,171.40,274.47,82.00,334.72%,34.80,2010
Smokin' Aces,Universal,27,64,Pursuit,Action,2218,6599,35.79,21.32,57.10,17.00,335.91%,14.60,2007
127 Hours,Independent,93,84,Escape,Adventure,916,2333,18.33,42.40,60.73,18.00,337.39%,0.26,2010
Hotel for Dogs ,,46,57,Comedy,Comedy,3271,5201,73.00,45.20,118.20,35.00,338.00%,17.00,2009
Mr. Popper's Penguins,20th Century Fox,47,54,Discovery,Comedy,3339,5524,68.22,119.14,187.36,55.00,340.65%,18.45,2011
The Bounty Hunter,Sony,7,41,Rivalry,Action,3074,6729,67.06,69.26,136.32,40.00,340.80%,20.70,2010
"Eat Pray Love	",Sony,36,46,Journey and Return,Drama,3082,7497,80.57,123.91,204.48,60.00,340.80%,23.10,2010
The Secret Life of Bees,Fox,56,78,Maturation,Drama,1591,6617,37.43,2.18,37.80,11.00,343.64%,10.53,2008
Diary of a Wimpy Kid 2: Rodrick Rules,20th Century Fox,47,63,Comedy,Comedy,3167,7500,52.70,19.72,72.42,21.00,344.84%,23.75,2011
Spider-Man 3,Sony,61,54,Metamorphosis,Action,4252,35540,336.53,554.34,890.87,258.00,345.30%,151.10,2007
G-Force ,Disney,22,50,Comedy,Action,3697,8576,119.40,165.60,285.10,82.50,346.00%,31.70,2009
Live Free or Die Hard,Fox,79,86,Rescue,Action,3408,9791,134.53,249.00,383.53,110.00,348.66%,33.40,2007
Remember Me,Summit,28,70,Love,Drama,2212,3657,19.07,36.79,55.85,16.00,349.06%,8.00,2010
Forgetting Sarah Marshall,Independent,85,75,Maturation,Comedy,2798,6791,62.93,42.00,104.80,30.00,349.33%,17.73,2008
Dr. Seuss' Horton Hears a Who!,Fox,79,75,Rescue,Animation,3954,11384,154.53,142.60,297.00,85.00,349.41%,45.00,2008
Johnny English Reborn,Relativity Media,38,55,Comedy,Comedy,1552,2470,8.31,149.63,157.94,45.00,350.98%,3.83,2011
National Treasure: Book of Secrets,Disney,31,72,The Riddle,Thriller,3832,11686,219.96,237.40,457.36,130.00,351.82%,44.80,2007
Hostel: Part II,Lionsgate,44,45,Escape,Horror,2350,3490,17.61,18.01,35.62,10.00,356.20%,8.20,2007
The Spirit,Lionsgate,14,29,Rivalry,Action,2509,2576,17.75,19.23,21.50,6.00,358.33%,6.50,2008
Harold and Kumar Escape from Guantanamo Bay,Warner Bros.,54,65,Escape,Adventure,2510,5939,38.11,5.38,43.30,12.00,360.83%,14.91,2008
Sanctum,Relativity Media,30,39,Quest,Action,2787,3390,23.20,85.40,108.60,30.00,362.00%,9.40,2011
Music and Lyrics,Warner Bros.,63,70,Love,Romance,,,50.57,95.32,145.90,40.00,364.74%,13.60,2007
The Kite Runner,Paramount,66,85,Maturation,Drama,715,2243,15.80,57.39,73.19,20.00,365.97%,1.60,2007
Ocean's 13,Warner Bros.,70,74,Revenge,Thriller,3565,10135,117.15,194.16,311.31,85.00,366.25%,36.10,2007
Knowing ,Independent,33,50,Escape,Drama,3332,7384,146.30,37.00,183.30,50.00,367.00%,24.60,2009
One Day,Independent,37,54,Love,Romance,1719,2955,13.84,41.40,55.24,15.00,368.27%,5.08,2011
Shutter Island,Paramount,68,73,The Riddle,Drama,2991,13729,128.01,166.79,294.80,80.00,368.50%,41.00,2010
Obsessed ,Sony,20,50,Rivalry,Drama,2514,11318,41.00,32.40,73.80,20.00,369.00%,28.60,2009
Into the Wild,Paramount,82,90,Quest,Drama,658,3249,18.35,37.28,55.63,15.00,370.90%,2.10,2007
Tyler Perry's The Family That Preys,Independent,51,36,Discovery,Drama,2070,8397,37.11,0.00,37.11,10.00,371.10%,17.38,2008
Michael Clayton,Independent,90,72,Transformation,Thriller,2511,4131,49.03,43.96,92.99,25.00,371.97%,10.40,2007
Tyler Perry's Why Did I get Married,Independent,46,47,Love,Romance,2011,10618,55.20,0.66,55.86,15.00,372.42%,21.40,2007
Harry Potter and the Half-Blood Prince ,Warner Bros.,83,75,Quest,Adventure,4325,17997,302.00,632.00,934.00,250.00,374.00%,77.80,2009
Vantage Point,,36,61,The Riddle,Drama,3149,7264,72.27,,151.20,40.00,378.00%,22.87,2008
Bride Wars ,Fox,11,56,Comedy,Comedy,3226,6528,100.40,13.40,114.70,30.00,382.00%,21.10,2009
The Final Destination ,Warner Bros.,29,52,Escape,Horror,3121,8782,66.50,86.10,152.60,40.00,382.00%,27.40,2009
2012,Sony,39,63,Escape,Action,3404,19165,165.60,602.40,767.90,200.00,384.00%,65.30,2009
Source Code,Summit Entertainment,92,81,The Riddle,Thriller,2961,5002,54.71,68.57,123.28,32.00,385.24%,14.81,2011
The Bucket List,Warner Bros.,41,81,Discovery,Drama,2911,6661,93.47,80.84,174.31,45.00,387.36%,19.40,2007
I Am Legend,Warner Bros.,69,69,Quest,Thriller,3606,21411,256.39,327.76,584.16,150.00,389.44%,77.20,2007
Winter's Bone,Independent,94,73,Quest,Drama,,,6.25,1.54,7.80,2.00,390.00%,0.80,2010
Pineapple Express,Sony,68,74,Comedy,Action,3072,7567,87.34,14.28,101.50,26.00,390.38%,23.20,2008
The Town,Warner Bros.,94,83,Rivalry,Crime,2856,8322,92.18,52.37,144.55,37.00,390.68%,23.80,2010
Halloween,The Weinstein Company,26,64,Pursuit,Horror,3472,7592,58.27,20.20,78.47,20.00,392.35%,26.40,2007
Clash of the Titans,Warner Bros.,28,48,Quest,Action,3777,16213,163.21,330.00,493.21,125.00,394.57%,61.20,2010
Final Destination 5,New Line Cinema,61,56,Monster Force,Horror,3155,5715,42.59,115.30,157.89,40.00,394.72%,18.03,2011
Zombieland ,Sony,90,87,Monster Force,Action,3036,8147,49.20,42.50,93.30,23.60,395.00%,24.70,2009
Sicko,The Weinstein Company,93,87,Quest,Documentary,702,5128,24.54,11.23,35.77,9.00,397.42%,3.60,2007
Transformers: Revenge of the Fallen ,Paramount,20,76,Revenge,Action,4234,25736,402.10,434.20,836.30,210.00,398.00%,109.00,2009
The Social Network,Sony,96,89,Rags to Riches,Biography,2771,8100,94.08,105.52,199.60,50.00,399.20%,22.40,2010
Vampires Suck,Independent,4,32,Comedy,Comedy,3233,3774,36.66,43.32,79.98,20.00,399.90%,12.20,2010
Enchanted,Disney,93,80,Love,Comedy,3730,9233,127.81,212.68,340.49,85.00,400.57%,34.40,2007
Due Date,Warner Bros.,40,56,Comedy,Comedy,3355,9743,99.65,100.90,200.55,50.00,401.10%,32.69,2010
The Bourne Ultimatum,Universal,93,91,Pursuit,Thriller,3660,18929,227.47,215.35,442.82,110.00,402.57%,69.30,2007
Fast and Furious ,Universal,28,76,Revenge,Action,3461,20500,155.10,188.00,343.00,85.00,404.00%,70.90,2009
Ratatouille,Disney,97,84,Transformation,Animation,3940,11935,206.45,414.98,621.42,150.00,414.28%,47.00,2007
Up ,Disney,98,86,Journey and Return,Animation,3766,18085,293.00,434.00,727.10,175.00,415.00%,68.10,2009
Hancock,Sony,40,67,Discovery,Action,3965,15789,227.95,396.44,624.40,150.00,416.27%,62.60,2008
Valentine's Day,Warner Bros.,17,54,Love,Comedy,3655,15351,110.49,106.00,216.49,52.00,416.33%,56.20,2010
"Pirates of the Caribbean:
On Stranger Tides",Disney,34,61,Quest,Action,4155,21697,241.07,802.80,1043.87,250.00,417.55%,90.15,2011
Burn After Reading,Relativity Media,78,64,Comedy,Comedy,2651,7215,60.36,103.36,154.80,37.00,418.38%,19.13,2008
Premonition,Sony,8,55,The Riddle,Drama,2831,6202,47.85,36.14,84.00,20.00,419.98%,17.60,2007
Michael Jackson's This Is It ,,81,82,Tragedy,Documentary,3481,6675,72.10,180.00,252.01,60.00,420.00%,23.30,2009
Indiana Jones and the Kingdom of the Crystal Skull,Paramount,77,59,Pursuit,Action,4260,23507,317.02,469.53,786.60,185.00,425.19%,100.10,2008
Friends With Benefits,Warner Bros,71,68,Temptation,Romance,2926,6364,55.80,93.74,149.54,35.00,427.26%,18.62,2011
Hannah Montana: The Movie ,Disney,44,66,Maturation,Comedy,3118,10367,79.58,70.52,150.09,35.00,429.00%,32.30,2009
Fame,MGM,25,43,Maturation,Comedy,3096,3234,22.50,55.50,78.00,18.00,433.00%,10.00,2009
The Ides of March,Columbia,85,76,Transformation,Thriller,2199,4761,40.49,13.70,54.19,12.50,433.55%,10.47,2011
Epic Movie,Independent,2,38,Comedy,Comedy,2801,6644,39.74,47.13,86.87,20.00,434.33%,18.60,2007
Unknown,Independent,55,57,The Riddle,Thriller,3043,7183,63.69,67.10,130.79,30.00,435.95%,21.86,2011
Sherlock Holmes ,Warner Bros.,70,81,The Riddle,Action,3626,17183,197.60,197.00,394.60,90.00,438.00%,62.30,2009
Kung Fu Panda 2,DreamWorks Animation,82,80,Rivalry,Animation,3925,12142,165.25,497.78,663.02,150.00,442.02%,47.66,2011
Beginners,Independent,84,80,Love,Comedy,,,5.79,8.39,14.18,3.20,443.19%,0.14,2011
The Last Song,Disney,19,66,Discovery,Drama,2673,5989,62.95,26.09,89.04,20.00,445.20%,16.00,2010
Drive,Independent,93,79,Rivalry,Thriller,2886,3929,34.68,32.33,67.01,15.00,446.71%,11.34,2011
Saw VI ,Independent,40,67,Escape,Horror,3036,4650,31.80,17.00,49.30,11.00,448.00%,14.10,2009
Inglourious Basterds ,Universal,88,87,Underdog,Adventure,3135,12024,120.50,193.00,313.60,70.00,448.00%,38.00,2009
21,,35,73,Quest,Crime,2648,9103,81.16,,157.90,35.00,451.14%,24.10,2008
The Visitor,Independent,92,83,Transformation,Drama,,,9.43,8.65,18.08,4.00,451.95%,0.09,2008
Shrek Forever After,Paramount,57,64,Journey and Return,Animation,4359,16251,238.74,510.06,748.80,165.00,453.82%,70.80,2010
Wanted,Universal,73,72,Transformation,Action,3175,16040,134.33,,342.10,75.00,456.13%,50.93,2008
50/50,Independent,93,93,Discovery,Comedy,2458,3517,34.90,1.62,36.51,8.00,456.39%,8.64,2011
Dear John,Sony,29,66,Love,Drama,2969,10262,80.01,34.96,114.98,25.00,459.92%,30.40,2010
Transformers,Paramount,57,89,Monster Force,Action,4011,17577,319.25,389.03,708.27,150.00,472.18%,70.50,2007
The Eye,Lionsgate,22,51,Sacrifice,Horror,2436,5101,31.42,25.55,56.80,12.00,473.33%,12.40,2008
The Unborn,Relativity Media,11,39,Monster Force,Horror,2357,8405,35.90,40.00,76.50,16.00,478.00%,19.80,2009
Friday the 13th,Paramount,25,52,Monster Force,Horror,3105,13066,65.00,26.40,91.40,19.00,481.00%,40.60,2009
Vicky Cristina Barcelona,The Weinstein Company,82,73,Temptation,Romance,692,5427,22.84,,77.20,16.00,482.50%,3.76,2008
Journey to the Center of the Earth,Warner Bros.,61,55,Quest,Action,2811,7477,101.70,140.29,220.70,45.00,490.44%,21.00,2008
Resident Evil: Afterlife,Highlight Communications,24,53,Monster Force,Action,3203,8320,60.13,236.09,296.22,60.00,493.70%,26.70,2010
Our Idiot Brother,The Weinstein Company,68,79,Comedy,Comedy,2555,2744,24.82,,24.82,5.00,496.32%,,2011
Shrek the Third,Paramount,42,57,Quest,Animation,4122,29507,322.72,476.24,798.96,160.00,499.35%,121.60,2007
Fast Five,Universal,78,83,Escape,Action,3644,23655,209.83,416.30,626.13,125.00,500.90%,,2011
Diary of a Wimpy Kid,Independent,53,49,Underdog,Comedy,3077,7191,64.00,11.70,75.70,15.00,504.67%,22.10,2010
P.S. I Love You,Independent,21,82,Love,Romance,2454,2641,53.70,99.40,153.09,30.00,510.31%,6.50,2007
The Smurfs,Sony Pictures Animation,23,50,Fish Out Of Water,Animation,3395,10489,142.61,419.54,562.16,110.00,511.05%,35.61,2011
Apollo 18,Weinstein Company,23,31,Monster Force,Horror,3328,2615,17.69,7.88,25.56,5.00,511.24%,8.70,2011
Alice in Wonderland,Disney,52,72,Journey and Return,Adventure,3728,31143,334.19,690.20,1024.39,200.00,512.20%,116.10,2010
Inception,Warner Bros.,86,93,Journey and Return,Action,3792,16557,292.58,531.00,823.58,160.00,514.74%,62.80,2010
Alvin and the Chipmunks,Fox,26,73,Comedy,Animation,3475,12750,217.33,143.14,360.47,70.00,514.95%,44.30,2007
The Fighter,Paramount,91,88,Underdog,Drama,2503,4848,93.00,35.00,129.19,25.00,516.76%,12.00,2010
Rise of the Planet of the Apes,20th Century Fox,83,87,Revenge,Action,3648,15024,176.70,304.52,481.23,93.00,517.45%,54.81,2011
Super 8 ,Paramount,82,78,Monster Force,Horror,3379,10492,127.00,132.71,259.71,50.00,519.43%,35.45,2011
Religulous,,70,78,Comedy,Documentary,502,6792,13.01,0.12,13.14,2.50,525.41%,3.41,2008
Step Up 3D,Summit,46,67,Transformation,Drama,2435,6494,42.40,116.75,159.15,30.00,530.50%,15.80,2010
Toy Story 3,Disney,99,91,Rescue,Animation,4028,27385,415.00,648.16,1063.16,200.00,531.58%,110.30,2010
27 Dresses,Fox,40,71,Love,Comedy,3057,7526,76.81,83.50,160.30,30.00,534.33%,23.01,2008
Rio,20th Century Fox,71,73,Quest,Animation,3826,10252,143.62,341.02,484.63,90.00,538.48%,39.23,2011
Gnomeo and Juliet,Disney,56,52,Love,Animation,2994,8469,99.97,94.00,193.97,36.00,538.80%,25.36,2011
The Dark Knight,Warner Bros.,94,96,Revenge,Thriller,4366,36283,530.92,468.58,996.90,185.00,538.86%,158.40,2008
Stomp the Yard,Independent,27,83,Maturation,Musical,2051,10645,61.36,14.15,75.51,14.00,539.37%,21.90,2007
The Ugly Truth ,Independent,14,68,Love,Comedy,2882,9579,88.90,116.40,205.30,38.00,540.00%,27.60,2009
Skyline,Independent,16,19,Monster Force,Action,2880,4060,21.39,33.87,55.26,10.00,552.60%,11.69,2010
Devil,Independent,52,45,Monster Force,Horror,2809,4375,33.60,23.23,56.83,10.00,568.30%,12.30,2010
Hitman,Fox,15,61,Quest,Action,2458,5362,39.69,60.28,99.96,17.50,571.22%,13.20,2007
Transformers: Dark of the Moon,DreamWorks Pictures,35,67,Quest,Action,4088,23937,352.39,770.81,1123.20,195.00,576.00%,97.85,2011
Twilight: Breaking Dawn,Independent,26,68,Love,Romance,4061,34012,260.80,374.00,634.80,110.00,577.09%,138.12,2011
Beverly Hills Chihuahua,Disney,41,56,Journey and Return,Adventure,3215,9114,93.12,54.76,116.00,20.00,580.00%,29.30,2008
Alvin and the Chipmunks: The Squeakquel ,Independent,21,59,Comedy,Animation,3700,13210,219.50,221.30,440.70,75.00,588.00%,48.80,2009
Disturbia,Paramount,67,75,Pursuit,Thriller,2925,7598,80.21,37.55,117.76,20.00,588.80%,22.20,2007
No Strings Attached,Spyglass Entertainment,49,57,Comedy,Comedy,3018,6512,70.60,77.10,147.70,25.00,590.80%,19.70,2011
Shutter,,7,40,Monster Force,Horror,2753,3794,25.93,,47.80,8.00,597.50%,10.50,2008
Horrible Bosses,Warner Bros,69,72,Revenge,Comedy,3040,9310,117.54,92.10,209.64,35.00,598.97%,28.30,2011
Limitless,Virgin,69,73,Wretched Excess,Thriller,2756,6860,79.25,82.60,161.85,27.00,599.44%,18.91,2011
Saw 3-D,Independent,10,47,Escape,Crime,2808,8024,45.71,76.80,122.51,20.00,612.55%,22.53,2010
Harry Potter and the Order of the Phoenix,Warner Bros.,78,82,Quest,Adventure,4285,17998,292.00,647.88,939.88,150.00,626.59%,77.10,2007
No Country for Old Men,Paramount,95,84,Pursuit,Drama,860,9042,74.28,86.72,161.00,25.00,644.00%,7.80,2007
Up in the Air ,Paramount,90,76,Maturation,Drama,1895,5947,83.82,78.20,162.02,25.00,648.00%,11.20,2009
True Grit,Paramount,96,86,Revenge,Drama,3047,8149,171.00,79.00,250.93,38.00,660.34%,24.00,2010
Another Earth,Independent,63,74,Temptation,Fantasy,,,1.32,,1.32,0.20,660.50%,0.08,2011
Knocked Up,Universal,91,83,Love,Comedy,2871,10690,148.77,70.23,219.00,33.00,663.64%,30.70,2007
Twilight,Summit,49,82,Love,Romance,3419,20368,176.82,199.85,246.50,37.00,666.22%,69.64,2008
The Game Plan,Disney,27,75,Discovery,Comedy,3103,7396,90.64,57.23,147.87,22.00,672.13%,22.90,2007
17 Again ,Independent,55,70,Maturation,Comedy,3255,7288,64.20,72.10,136.30,20.00,682.00%,23.70,2009
District 9 ,Independent,91,81,Metamorphosis,Action,3049,12251,115.60,89.20,204.80,30.00,683.00%,37.40,2009
Cloverfield,Paramount,77,67,Monster Force,Action,3411,11744,80.05,90.72,170.80,25.00,683.20%,40.10,2008
300,Warner Bros.,60,90,Sacrifice,Action,3103,22844,210.61,245.45,456.07,65.00,701.64%,70.90,2007
The Simpsons Movie,Fox,90,78,Maturation,Comedy,3922,18877,183.14,343.93,527.07,75.00,702.76%,74.00,2007
Paul Blart: Mall Cop ,Sony,33,50,Comedy,Action,3144,10125,80.00,103.30,183.30,26.00,705.00%,31.80,2009
My Bloody Valentine 3-D ,Lionsgate,57,48,Pursuit,Crime,2534,8383,38.60,60.80,100.00,14.00,714.00%,21.20,2009
He's Just Not That Into You ,Warner Bros.,42,60,Love,Comedy,3175,8751,94.00,84.50,178.40,25.00,714.00%,27.80,2009
Sex and the City,Warner Bros.,49,81,Love,Comedy,3285,17363,152.65,262.61,415.10,57.50,721.91%,57.04,2008
The Hangover Part II,Legendary Pictures,35,58,Comedy,Comedy,3615,23775,254.46,327.00,581.46,80.00,726.83%,85.95,2011
The Kids Are All Right,Independent,94,72,Comedy,Comedy,847,4162,20.81,8.55,29.37,4.00,734.25%,3.50,2010
Harry Potter and the Deathly Hallows Part 1,Warner Bros.,79,87,Quest,Adventure,4125,30307,295.00,660.00,955.41,125.00,764.33%,125.00,2010
Star Wars: The Clone Wars,Independent,19,46,Sacrifice,Animation,3452,4233,35.16,33.12,65.60,8.50,771.76%,14.60,2008
(500) Days of Summer ,Fox,87,81,Love,Comedy,817,4577,48.30,9.30,58.60,7.50,781.00%,3.80,2009
Despicable Me,Universal,81,81,Maturation,Animation,3476,16225,251.38,290.50,541.88,69.00,785.33%,56.40,2010
"Definitely, Maybe",Universal,71,72,Discovery,Comedy,2204,4430,32.01,23.20,55.00,7.00,785.71%,9.76,2008
The Proposal ,Disney,43,74,Love,Comedy,3056,11004,164.00,150.70,314.70,40.00,787.00%,33.60,2009
The Help,DreamWorks Pictures,75,91,Maturation,Drama,2534,10278,169.22,30.10,199.32,25.00,797.30%,26.04,2011
Midnight in Paris,Sony,93,84,Love,Romance,944,61777,56.18,83.00,139.18,17.00,818.69%,5.83,2011
Step Up 2: The Streets,Disney,26,81,Underdog,Drama,2470,7655,58.02,92.80,148.20,17.50,846.86%,18.91,2008
Superbad,Sony,88,87,Comedy,Comedy,2948,11211,121.46,48.41,169.87,20.00,849.36%,33.00,2007
Jackass 3-D,Paramount,63,72,Comedy,Documentary,3081,16343,117.19,52.76,169.95,20.00,849.75%,50.40,2010
The Strangers,Relativity Media,44,48,Escape,Horror,2466,8515,52.60,29.79,77.60,9.00,862.22%,20.99,2008
Mamma Mia!,Universal,53,76,Love,Comedy,2976,9325,143.76,465.71,572.20,66.00,866.97%,27.75,2008
Bridesmaids,Relativity Media,90,77,Rivalry,Comedy,2918,8995,169.11,119.28,288.38,32.50,887.33%,26.25,2011
The Karate Kid,Sony,66,75,Underdog,Action,3663,15197,176.59,182.53,359.13,40.00,897.83%,55.70,2010
Taken ,Independent,58,83,Pursuit,Action,3183,7765,145.00,81.80,226.80,25.00,907.00%,24.70,2009
Buried,Independent,86,63,Escape,Drama,11,9115,1.04,17.33,18.38,2.00,919.00%,0.10,2010
Easy A,Sony,85,75,Maturation,Comedy,2856,6209,58.40,15.24,73.64,8.00,920.50%,17.70,2010
Saw V,Independent,13,63,Monster Force,Crime,3030,9822,56.75,57.12,103.60,10.80,959.26%,30.10,2008
Ice Age: Dawn of the Dinosaurs ,Fox,45,72,Quest,Animation,4099,10171,196.60,687.90,884.50,90.00,983.00%,41.70,2009
The Blind Side ,Independent,65,90,Rags To Riches,Biography,3110,10971,255.80,39.30,295.10,29.00,1018.00%,34.10,2009
"The Twilight Saga: Eclipse	",Summit,50,74,Monster Force,Drama,4468,14510,300.53,393.05,693.58,68.00,1019.97%,64.80,2010
Harry Potter and the Deathly Hallows Part 2,Warner Bros,96,92,Rivalry,Fantasy,4375,38672,381.01,947.10,1328.11,125.00,1062.49%,169.19,2011
Bad Teacher,Independent,44,38,Comedy,Comedy,3049,10365,100.29,115.90,216.20,20.00,1080.98%,31.60,2011
Waitress,Independent,89,67,Love,Romance,605,3327,19.07,3.10,22.18,2.00,1108.97%,2.00,2007
Avatar ,Fox,83,92,Metamorphosis,Action,3452,22313,743.80,1969.00,2712.85,237.00,1145.00%,77.00,2009
Slumdog Millionaire,Independent,94,90,Underdog,Crime,,,101.89,236.59,198.00,15.00,1320.00%,4.30,2008
The Hangover ,Warner Bros.,79,87,Comedy,Comedy,3269,13759,277.30,190.00,467.30,35.00,1335.00%,45.00,2009
Under the Same Moon,,72,80,Quest,Drama,266,10412,12.59,,23.00,1.70,1352.94%,2.80,2008
Saw IV,Independent,18,70,Escape,Horror,3183,9976,63.30,76.05,139.35,10.00,1393.53%,31.70,2007
The Twilight Saga: New Moon ,Summit,27,78,Love,Drama,4024,35497,293.80,410.30,704.20,50.00,1408.00%,142.80,2009
The King's Speech,Independent,95,93,Maturation,Biography,700,6406,,,245.20,15.00,1634.67%,4.40,2010
Semi-Pro,Warner Bros.,21,41,Underdog,Comedy,3121,4830,33.48,10.41,43.90,2.60,1688.46%,15.08,2008
High School Musical 3: Senior Year,Disney,65,76,Love,Comedy,3623,11601,89.70,162.35,240.70,11.00,2188.18%,42.03,2008
Black Swan        ,Fox,88,86,Wretched Excess,Drama,959,8742,106.95,222.44,329.39,13.00,2533.77%,8.38,2010
Juno,Fox,94,89,Maturation,Comedy,1019,10436,143.50,87.69,231.18,7.50,3082.46%,10.60,2007
The Last Exorcism,Independent,73,32,Monster Force,Drama,2874,7087,41.03,25.42,66.46,1.80,3692.22%,20.40,2010
Paranormal Activity 3,Independent,68,58,Monster Force,Horror,3321,15829,103.66,98.24,201.90,5.00,4037.94%,52.57,2011
Paranormal Activity 2,Paramount,59,51,Monster Force,Horror,3216,12649,84.75,92.75,177.51,3.00,5917.00%,40.67,2010
Insidious,Sony,67,65,Monster Force,Horror,2408,5511,54.01,43.00,97.01,1.50,6467.27%,13.27,2011
Fireproof,Independent,40,51,Love,Drama,839,8148,33.45,0.02,33.45,0.50,6690.00%,6.84,2008
Paranormal Activity ,Independent,82,56,Monster Force,Horror,760,25813,107.92,63.41,171.30,0.02,1142000.00%,19.60,2009
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
