Film ,Lead Studio,Rotten Tomatoes,Audience Score,Story,Genre,Number of Theatres in US Opening Weekend,Box Office Average per US Cinema (Opening Weekend),Domestic Gross,Foreign Gross,Worldwide Gross,Budget,Profitability,Opening Weekend,Year
Life as We Know It,Independent,28,62,Love,Comedy,3150,4605,53.13,43.03,96.16,38,253.05%,14.5,2010
The Duchess,Paramount,60,68,Love,Drama,,,13.85,29.46,34.3,13.5,254.07%,3.3,2008
Letters to Juliet,Summit,40,62,Love,Comedy,2968,4562,53.03,26.15,79.18,30,263.93%,13.5,2010
Made of Honor,Sony,13,61,Love,Comedy,2729,5407,46.01,59.95,106,40,265.00%,14.76,2008
The Tourist,Sony,20,44,Love,Drama,2756,5977,67,210,278.34,100,278.34%,16,2010
WALL-E,Disney,96,89,Love,Animation,3992,15803,223.78,,507.3,180,281.83%,63.09,2008
Sex and the City 2,Warner Bros.,15,49,Love,Comedy,3445,3445,95.35,193,288.35,100,288.35%,31,2010
It's Complicated ,Universal,56,63,Love,Comedy,2887,7655,112.73,105.4,218.1,75,291.00%,22.1,2009
A Serious Man ,Universal,89,64,Love,Drama,6,41890,9.2,7.1,20.5,7,293.00%,0.3,2009
Water For Elephants,20th Century Fox,60,72,Love,Drama,2817,5979,58.71,58.39,117.09,38,308.14%,16.84,2011
Nick and Norah's Infinite Playlist,,73,67,Love,Comedy,2421,4672,31.49,,31.7,10,317.00%,11.31,2008
No Reservations,,39,64,Love,Comedy,2425,4826,43.11,49.49,92.6,28,330.72%,11.7,2007
Remember Me,Summit,28,70,Love,Drama,2212,3657,19.07,36.79,55.85,16,349.06%,8,2010
Music and Lyrics,Warner Bros.,63,70,Love,Romance,,,50.57,95.32,145.9,40,364.74%,13.6,2007
One Day,Independent,37,54,Love,Romance,1719,2955,13.84,41.4,55.24,15,368.27%,5.08,2011
Tyler Perry's Why Did I get Married,Independent,46,47,Love,Romance,2011,10618,55.2,0.66,55.86,15,372.42%,21.4,2007
Enchanted,Disney,93,80,Love,Comedy,3730,9233,127.81,212.68,340.49,85,400.57%,34.4,2007
Valentine's Day,Warner Bros.,17,54,Love,Comedy,3655,15351,110.49,106,216.49,52,416.33%,56.2,2010
Beginners,Independent,84,80,Love,Comedy,,,5.79,8.39,14.18,3.2,443.19%,0.14,2011
Dear John,Sony,29,66,Love,Drama,2969,10262,80.01,34.96,114.98,25,459.92%,30.4,2010
P.S. I Love You,Independent,21,82,Love,Romance,2454,2641,53.7,99.4,153.09,30,510.31%,6.5,2007
27 Dresses,Fox,40,71,Love,Comedy,3057,7526,76.81,83.5,160.3,30,534.33%,23.01,2008
Gnomeo and Juliet,Disney,56,52,Love,Animation,2994,8469,99.97,94,193.97,36,538.80%,25.36,2011
The Ugly Truth ,Independent,14,68,Love,Comedy,2882,9579,88.9,116.4,205.3,38,540.00%,27.6,2009
Twilight: Breaking Dawn,Independent,26,68,Love,Romance,4061,34012,260.8,374,634.8,110,577.09%,138.12,2011
Knocked Up,Universal,91,83,Love,Comedy,2871,10690,148.77,70.23,219,33,663.64%,30.7,2007
Twilight,Summit,49,82,Love,Romance,3419,20368,176.82,199.85,246.5,37,666.22%,69.64,2008
He's Just Not That Into You ,Warner Bros.,42,60,Love,Comedy,3175,8751,94,84.5,178.4,25,714.00%,27.8,2009
Sex and the City,Warner Bros.,49,81,Love,Comedy,3285,17363,152.65,262.61,415.1,57.5,721.91%,57.04,2008
(500) Days of Summer ,Fox,87,81,Love,Comedy,817,4577,48.3,9.3,58.6,7.5,781.00%,3.8,2009
The Proposal ,Disney,43,74,Love,Comedy,3056,11004,164,150.7,314.7,40,787.00%,33.6,2009
Midnight in Paris,Sony,93,84,Love,Romance,944,61777,56.18,83,139.18,17,818.69%,5.83,2011
Mamma Mia!,Universal,53,76,Love,Comedy,2976,9325,143.76,465.71,572.2,66,866.97%,27.75,2008
Waitress,Independent,89,67,Love,Romance,605,3327,19.07,3.1,22.18,2,1108.97%,2,2007
The Twilight Saga: New Moon ,Summit,27,78,Love,Drama,4024,35497,293.8,410.3,704.2,50,1408.00%,142.8,2009
High School Musical 3: Senior Year,Disney,65,76,Love,Comedy,3623,11601,89.7,162.35,240.7,11,2188.18%,42.03,2008
Fireproof,Independent,40,51,Love,Drama,839,8148,33.45,0.02,33.45,0.5,6690.00%,6.84,2008
The Express,Independent,62,73,Maturation,Drama,2808,1625,9.79,0.01,9.81,37.5,26.16%,4.56,2008
Post Grad ,,7,31,Maturation,Comedy,1959,1354,6.38,0,6.38,15,43.00%,2.6,2009
The Runaways,Independent,68,56,Maturation,Biography,244,3300,3.57,1.11,4.68,10,46.80%,0.8,2010
Bandslam ,,79,60,Maturation,Comedy,2121,1052,5.2,6.9,12.1,20,61.00%,2.2,2009
Cedar Rapids,20th Century Fox,86,61,Maturation,Comedy,,,6.86,,6.86,10,68.61%,0.3,2011
Happily N'Ever After,Lionsgate,4,43,Maturation,Animation,2381,2775,15.59,22.5,38.08,47,81.03%,6.6,2007
Whip It ,,84,73,Maturation,Drama,1721,2702,13,3,16,15,107.00%,4.7,2009
Swing Vote,Disney,36,44,Maturation,Comedy,2213,2815,16.29,1.34,33.4,20,167.00%,6.23,2008
Adventureland ,,89,56,Maturation,Comedy,1862,3073,16.04,0.01,16.05,9.5,169.00%,5.7,2009
Abduction,Vertigo Entertainment,4,46,Maturation,Action,3118,3504,28.07,54,82.07,35,234.48%,10.93,2011
I Am Number Four,Paramount,32,57,Maturation,Thriller,3154,6167,55.1,89.4,144.5,60,240.83%,19.45,2011
The Secret Life of Bees,Fox,56,78,Maturation,Drama,1591,6617,37.43,2.18,37.8,11,343.64%,10.53,2008
Forgetting Sarah Marshall,Independent,85,75,Maturation,Comedy,2798,6791,62.93,42,104.8,30,349.33%,17.73,2008
The Kite Runner,Paramount,66,85,Maturation,Drama,715,2243,15.8,57.39,73.19,20,365.97%,1.6,2007
Hannah Montana: The Movie ,Disney,44,66,Maturation,Comedy,3118,10367,79.58,70.52,150.09,35,429.00%,32.3,2009
Fame,MGM,25,43,Maturation,Comedy,3096,3234,22.5,55.5,78,18,433.00%,10,2009
Stomp the Yard,Independent,27,83,Maturation,Musical,2051,10645,61.36,14.15,75.51,14,539.37%,21.9,2007
Up in the Air ,Paramount,90,76,Maturation,Drama,1895,5947,83.82,78.2,162.02,25,648.00%,11.2,2009
17 Again ,Independent,55,70,Maturation,Comedy,3255,7288,64.2,72.1,136.3,20,682.00%,23.7,2009
The Simpsons Movie,Fox,90,78,Maturation,Comedy,3922,18877,183.14,343.93,527.07,75,702.76%,74,2007
Despicable Me,Universal,81,81,Maturation,Animation,3476,16225,251.38,290.5,541.88,69,785.33%,56.4,2010
The Help,DreamWorks Pictures,75,91,Maturation,Drama,2534,10278,169.22,30.1,199.32,25,797.30%,26.04,2011
Easy A,Sony,85,75,Maturation,Comedy,2856,6209,58.4,15.24,73.64,8,920.50%,17.7,2010
The King's Speech,Independent,95,93,Maturation,Biography,700,6406,,,245.2,15,1634.67%,4.4,2010
Juno,Fox,94,89,Maturation,Comedy,1019,10436,143.5,87.69,231.18,7.5,3082.46%,10.6,2007
Green Lantern,Warner Bros,27,48,Metamorphosis,Action,3816,13935,116.6,103.25,219.85,200,109.93%,53.17,2011
The Change Up,Relativity Media,24,53,Metamorphosis,Comedy,2913,4645,37.08,33.75,70.83,52,136.22%,13.53,2011
Beastly,CBS Films,19,50,Metamorphosis,Romance,1952,5047,27.87,0.97,28.83,17,169.61%,9.85,2011
The Incredible Hulk,Universal,67,75,Metamorphosis,Action,3505,15810,134.53,128.62,262.5,137.5,190.91%,55.14,2008
The Princess and the Frog ,,84,72,Metamorphosis,Animation,3434,7050,104.3,143,247.3,105,236.00%,24.2,2009
Captain America: The First Avenger,Disney,78,75,Metamorphosis,Action,3715,17512,176.65,191.75,368.4,140,263.15%,65.06,2011
Iron Man,Paramount,94,91,Metamorphosis,Action,4105,24024,318.31,266.76,581.9,186,312.85%,98.62,2008
Spider-Man 3,Sony,61,54,Metamorphosis,Action,4252,35540,336.53,554.34,890.87,258,345.30%,151.1,2007
District 9 ,Independent,91,81,Metamorphosis,Action,3049,12251,115.6,89.2,204.8,30,683.00%,37.4,2009
Avatar ,Fox,83,92,Metamorphosis,Action,3452,22313,743.8,1969,2712.85,237,1145.00%,77,2009
Vanishing on 7th Street,Independent,52,62,Monster Force,Horror,,,0.02,1.05,1.07,10,10.67%,0,2011
Dylan Dog: Dead of Night,Independent,6,28,Monster Force,Horror,,,1.19,3.45,4.63,20,23.17%,0.75,2011
Pandorum ,,28,49,Monster Force,Action,2506,1765,10.3,6.7,17,40,43.00%,4.4,2009
The Invasion,Warner Bros.,19,43,Monster Force,Horror,2776,2143,15.07,25.1,40.17,80,50.21%,5.6,2007
The Thing,Universal,36,52,Monster Force,Horror,2996,2835,16.93,10.5,27.43,38,72.18%,8.49,2011
My Soul to Take,Relativity Media,9,29,Monster Force,Horror,2572,4605,14.74,5.09,19.83,25,79.32%,6.8,2010
The Wolfman,Universal,33,38,Monster Force,Drama,3222,9770,61.98,77.81,139.79,150,93.19%,31.5,2010
Dragon Wars (aka D-War),Mediaplex,27,44,Monster Force,Action,2277,2213,10.98,63.27,74.25,75,99.00%,5,2007
Cowboys and Aliens,Universal,44,50,Monster Force,Action,3750,9715,100.24,74.58,174.82,163,107.25%,36.43,2011
Case 39,Independent,23,42,Monster Force,Horror,2211,2420,13.26,14.93,28.19,26,108.42%,5.4,2010
Jennifer's Body ,,42,37,Monster Force,Comedy,2702,2542,16.2,2.6,18.8,16,118.00%,6.9,2009
Don't Be Afraid Of The Dark,Miramax Films,59,37,Monster Force,Horror,2760,3089,24.05,7.5,31.55,25,126.18%,8.53,2011
Priest,Sony,17,37,Monster Force,Action,2864,2221,29.14,49.17,78.31,60,130.51%,14.95,2011
Aliens in the Attic ,,30,46,Monster Force,Adventure,3106,2578,25.2,24.35,59.55,45,132.00%,8,2009
Terminator Salvation ,Independent,33,64,Monster Force,Action,3530,12056,125.3,246.7,372,200,186.00%,42.6,2009
The X-Files: I Want to Believe,Fox,32,34,Monster Force,Thriller,3185,3147,20.98,47.39,68.3,35,195.14%,10.1,2008
Ghost Rider,Sony,28,56,Monster Force,Action,3619,12541,115.8,112.94,228.74,110,207.94%,45.3,2007
Mirrors,Independent,14,49,Monster Force,Horror,2664,4190,30.69,46.8,73.4,35,209.71%,11.2,2008
Red Riding Hood,Warner Bros,11,41,Monster Force,Horror,3030,4622,37.66,51.5,89.16,42,212.29%,14.01,2011
Monsters Vs. Aliens ,Paramount,72,65,Monster Force,Animation,4104,14454,198.4,183.2,381.5,175,218.00%,59.3,2009
X-Men: First Class,Disney,87,88,Monster Force,Action,3641,15134,146.41,207.22,353.62,160,221.01%,55.1,2011
Fantastic Four: Rise of the Silver Surfer,Fox,35,55,Monster Force,Action,3959,14663,131.92,157.13,289.05,130,222.34%,58,2007
One Missed Call,,0,36,Monster Force,Horror,2240,5585,26.89,,44.5,20,222.50%,12.5,2008
Season Of The Witch,Relativity ,10,32,Monster Force,Action,2816,3769,24.8,66.8,91.6,40,229.00%,12,2011
30 Days of Night,Independent,50,57,Monster Force,Horror,2855,5587,39.57,35.53,75.1,32,234.67%,15.6,2007
Scream 4,Weinstein Company,58,57,Monster Force,Horror,3305,5656,38.18,58.96,97.14,40,242.84%,18.69,2011
The Hills Have Eyes 2,Independent,11,50,Monster Force,Horror,2447,3958,20.8,16.66,37.47,15,249.77%,9.7,2007
The Roommate,Independent,4,29,Monster Force,Horror,2534,5921,37.3,3.19,40.49,16,253.08%,15,2011
The Haunting in Connecticut ,,17,51,Monster Force,Drama,2732,8420,42.7,33.8,76.8,30,256.00%,23,2009
The Rite,Warner Bros,20,43,Monster Force,Horror,2985,4955,33,63,96,37,259.46%,14.8,2011
Legion,Independent,19,36,Monster Force,Action,2476,7069,40.17,27.74,67.91,26,261.19%,17.5,2010
TMNT,,33,63,Monster Force,Action,3110,7799,54.15,40.86,95.01,35,271.46%,24.3,2007
The Crazies,Liberty Starz,72,54,Monster Force,Horror,2476,6489,39.12,15.47,54.59,20,272.95%,16.07,2010
Drag Me to Hell ,Universal,92,61,Monster Force,Horror,2508,6310,77.2,8.1,86.7,30,289.00%,15.8,2009
Thor,Disney,77,80,Monster Force,Action,3955,16618,181.03,267.48,448.51,150,299.01%,65.72,2011
Battle: Los Angeles,Relativity Media,35,50,Monster Force,Action,3417,10411,83.55,128.27,211.82,70,302.60%,35.57,2011
Quarantine,Sony,59,46,Monster Force,Horror,2461,5775,31.69,,37.2,12,310.00%,14.2,2008
The Mist,The Weinstein Company,72,64,Monster Force,Horror,2423,3686,25.59,31.24,56.83,18,315.72%,8.9,2007
Predators,Fox,64,52,Monster Force,Action,2669,9277,52,74.74,126.74,40,316.85%,24.8,2010
The Fourth Kind ,,18,44,Monster Force,Mystery,2527,4840,26.22,5.5,31.72,10,317.00%,12.2,2009
Alien vs. Predator -- Requiem,Fox,14,37,Monster Force,Horror,2611,3853,41.8,87.09,128.88,40,322.21%,10,2007
A Nightmare on Elm Street,Warner Bros.,13,40,Monster Force,Horror,3332,9875,63.08,52.59,115.66,35,330.46%,32.9,2010
Piranha 3-D,The Weinstein Company,74,45,Monster Force,Comedy,2470,4092,25,54.78,79.78,24,332.42%,10.1,2010
Final Destination 5,New Line Cinema,61,56,Monster Force,Horror,3155,5715,42.59,115.3,157.89,40,394.72%,18.03,2011
Zombieland ,Sony,90,87,Monster Force,Action,3036,8147,49.2,42.5,93.3,23.6,395.00%,24.7,2009
Transformers,Paramount,57,89,Monster Force,Action,4011,17577,319.25,389.03,708.27,150,472.18%,70.5,2007
The Unborn,Relativity Media,11,39,Monster Force,Horror,2357,8405,35.9,40,76.5,16,478.00%,19.8,2009
Friday the 13th,Paramount,25,52,Monster Force,Horror,3105,13066,65,26.4,91.4,19,481.00%,40.6,2009
Resident Evil: Afterlife,Highlight Communications,24,53,Monster Force,Action,3203,8320,60.13,236.09,296.22,60,493.70%,26.7,2010
Apollo 18,Weinstein Company,23,31,Monster Force,Horror,3328,2615,17.69,7.88,25.56,5,511.24%,8.7,2011
Super 8 ,Paramount,82,78,Monster Force,Horror,3379,10492,127,132.71,259.71,50,519.43%,35.45,2011
Skyline,Independent,16,19,Monster Force,Action,2880,4060,21.39,33.87,55.26,10,552.60%,11.69,2010
Devil,Independent,52,45,Monster Force,Horror,2809,4375,33.6,23.23,56.83,10,568.30%,12.3,2010
Shutter,,7,40,Monster Force,Horror,2753,3794,25.93,,47.8,8,597.50%,10.5,2008
Cloverfield,Paramount,77,67,Monster Force,Action,3411,11744,80.05,90.72,170.8,25,683.20%,40.1,2008
Saw V,Independent,13,63,Monster Force,Crime,3030,9822,56.75,57.12,103.6,10.8,959.26%,30.1,2008
"The Twilight Saga: Eclipse	",Summit,50,74,Monster Force,Drama,4468,14510,300.53,393.05,693.58,68,1019.97%,64.8,2010
The Last Exorcism,Independent,73,32,Monster Force,Drama,2874,7087,41.03,25.42,66.46,1.8,3692.22%,20.4,2010
Paranormal Activity 3,Independent,68,58,Monster Force,Horror,3321,15829,103.66,98.24,201.9,5,4037.94%,52.57,2011
Paranormal Activity 2,Paramount,59,51,Monster Force,Horror,3216,12649,84.75,92.75,177.51,3,5917.00%,40.67,2010
Insidious,Sony,67,65,Monster Force,Horror,2408,5511,54.01,43,97.01,1.5,6467.27%,13.27,2011
Paranormal Activity ,Independent,82,56,Monster Force,Horror,760,25813,107.92,63.41,171.3,0.02,1142000.00%,19.6,2009
Whiteout ,,7,28,Pursuit,Action,2745,1791,10.3,1.9,12.2,35,35.00%,4.9,2009
Grindhouse,The Weinstein Company,82,86,Pursuit,Action,2624,4419,25.04,0.38,25.42,53,47.97%,11.6,2007
Shoot 'Em Up,Warner Bros.,67,66,Pursuit,Action,2108,2711,12.81,13.91,26.72,39,68.51%,5.7,2007
Bangkok Dangerous,,9,33,Pursuit,Action,2650,2937,15.3,,39.4,45,87.56%,7.8,2008
From Paris with Love,Independent,38,57,Pursuit,Action,2722,2997,24.08,28.72,52.8,52,101.54%,8.2,2010
Next,Paramount,29,59,Pursuit,Thriller,2725,2617,18.21,55.33,73.54,70,105.06%,7.1,2007
Sorority Row ,,22,38,Pursuit,Horror,2665,1899,11.97,1.6,13.56,12.5,108.00%,5.1,2009
Traitor,Liberty Starz,55,66,Pursuit,Thriller,2054,3831,23.53,4.13,25.3,22,115.00%,7.9,2008
Surrogates ,,39,42,Pursuit,Action,2951,5050,73.3,24,99.4,80,124.00%,14.9,2009
Zodiac,Paramount,89,73,Pursuit,Thriller,2362,5671,33.08,51.71,84.79,65,130.44%,13.4,2007
Cats & Dogs: The Revenge of Kitty Galore,Independent,13,43,Pursuit,Action,3705,3314,43.59,68.9,112.48,85,132.33%,12.3,2010
The Sorcerer's Apprentice,Disney,42,57,Pursuit,Action,3504,5028,63.15,152.13,215.28,150,143.52%,17.6,2010
Shooter,Paramount,47,82,Pursuit,Action,2806,5175,47,48.69,95.7,61,156.88%,14.5,2007
G.I. Joe: The Rise of Cobra ,Paramount,33,62,Pursuit,Action,4007,13654,150.2,151.9,302.1,175,173.00%,54.7,2009
The A-Team,Fox,47,71,Pursuit,Action,3535,7262,77.22,99.81,177.03,100,177.03%,25.7,2010
Vacancy,Sony,55,46,Pursuit,Comedy,2551,2980,19.36,15.94,35.3,19,185.79%,7.6,2007
Eagle Eye,Paramount,27,72,Pursuit,Action,3510,8305,101.18,76.62,175.9,80,219.88%,29.2,2008
Knight and Day,Fox,53,52,Pursuit,Action,3098,6501,76.42,185.26,261.68,117,223.66%,20.2,2010
The Debt,Universal,76,70,Pursuit,Thriller,1826,5427,31.18,14.25,45.43,20,227.15%,9.91,2011
Crank: High Voltage ,,62,54,Pursuit,Action,2223,3133,13.7,20.8,34.5,12.9,267.00%,7,2009
American Gangster,Universal,79,87,Pursuit,Thriller,3054,14264,130.16,137.74,267.9,100,267.90%,43.6,2007
Date Night,Fox,66,58,Pursuit,Comedy,3374,7471,98.71,53.55,152.26,55,276.84%,25.2,2010
Get Smart,Warner Bros.,51,73,Pursuit,Action,3911,9891,130.32,100.37,230.5,80,288.13%,38.7,2008
The Expendables,Independent,40,58,Pursuit,Action,3270,10650,103.07,171.4,274.47,82,334.72%,34.8,2010
Smokin' Aces,Universal,27,64,Pursuit,Action,2218,6599,35.79,21.32,57.1,17,335.91%,14.6,2007
Halloween,The Weinstein Company,26,64,Pursuit,Horror,3472,7592,58.27,20.2,78.47,20,392.35%,26.4,2007
The Bourne Ultimatum,Universal,93,91,Pursuit,Thriller,3660,18929,227.47,215.35,442.82,110,402.57%,69.3,2007
Indiana Jones and the Kingdom of the Crystal Skull,Paramount,77,59,Pursuit,Action,4260,23507,317.02,469.53,786.6,185,425.19%,100.1,2008
Disturbia,Paramount,67,75,Pursuit,Thriller,2925,7598,80.21,37.55,117.76,20,588.80%,22.2,2007
No Country for Old Men,Paramount,95,84,Pursuit,Drama,860,9042,74.28,86.72,161,25,644.00%,7.8,2007
My Bloody Valentine 3-D ,Lionsgate,57,48,Pursuit,Crime,2534,8383,38.6,60.8,100,14,714.00%,21.2,2009
Taken ,Independent,58,83,Pursuit,Action,3183,7765,145,81.8,226.8,25,907.00%,24.7,2009
Miracle at St. Anna,,34,68,Quest,Action,1185,2935,7.92,1.2,9.11,45,20.24%,3.5,2008
Taking Woodstock ,,48,48,Quest,Comedy,1393,2482,7.5,2.5,9.9,29,34.00%,3.5,2009
The Longshots,Independent,39,39,Quest,Comedy,2089,1953,11.51,0.23,11.74,30,39.14%,4,2008
Amelia ,,21,35,Quest,Adventure,820,4761,14.2,5,19.2,40,48.00%,3.9,2009
Astro Boy ,,49,53,Quest,Animation,3014,2224,19.55,12.04,31.59,65,49.00%,6.7,2009
Conan the Barbarian,Lionsgate,22,34,Quest,Action,3015,3324,21.3,27.5,48.8,90,54.22%,10.02,2011
The Road ,The Weinstein Company,75,65,Quest,Adventure,111,13534,7.9,6.5,14.3,25,57.00%,1.5,2009
The Soloist ,,56,59,Quest,Drama,2024,4801,31.7,6.2,37.92,60,63.00%,9.7,2009
Doomsday,Relativity Media,48,47,Quest,Action,1936,2544,11.01,11.2,21.6,33,65.45%,4.9,2008
Speed Racer,Warner Bros.,38,61,Quest,Action,3606,5174,43.95,50,93.4,120,77.83%,18.6,2008
Green Zone,Universal,53,60,Quest,Action,3003,4765,35.05,59.82,94.88,100,94.88%,14.3,2010
Year One ,,14,31,Quest,Adventure,3022,6489,32.4,26.2,60.2,60,100.00%,19.6,2009
Inkheart ,Warner Bros.,39,51,Quest,Adventure,2655,2862,43.3,16.9,62.5,60,104.00%,7.6,2009
The Kingdom,,52,78,Quest,Action,2793,6135,47.54,39.07,86.61,80,108.26%,17.1,2007
The Eagle,Universal,39,43,Quest,Action,2296,3782,19.49,7.63,27.12,25,108.48%,8.68,2011
Sucker Punch,Legendary Pictures,23,48,Quest,Action,3033,6284,36.39,53.4,89.79,82,109.50%,19.06,2011
Winnie The Pooh,Disney,91,79,Quest,Animation,2405,3267,26.69,6.46,33.15,30,110.51%,7.86,2011
Push ,,22,47,Quest,Action,2313,4358,31.7,12.6,44.4,38,117.00%,10.1,2009
The Hurt Locker ,Independent,97,83,Quest,Drama,4,36338,14.7,3.4,18.1,15,121.00%,0.14,2009
Changeling,Independent,62,84,Quest,Drama,,,35.69,77.28,66.9,55,121.64%,9.4,2008
Fool's Gold,Warner Bros.,11,53,Quest,Adventure,3125,6909,70.23,,110.6,72.5,152.55%,21.6,2008
Babylon A.D.,,7,32,Quest,Action,3390,2798,22.53,,70.6,45,156.89%,9.5,2008
The Reaping,,9,53,Quest,Horror,2603,3851,25.13,37.64,62.77,40,156.93%,10,2007
The Muppets,Disney,97,87,Quest,Comedy,3440,8500,66.63,5.8,72.43,45,160.95%,29.24,2011
Meet the Robinsons,Disney,66,75,Quest,Animation,3413,7361,97.82,71.51,169.33,100,169.33%,25.1,2007
Lions for Lambs,,27,48,Quest,Drama,2215,3025,15,48.21,63.21,35,180.60%,6.7,2007
The Book of Eli        ,Independent,48,68,Quest,Action,3111,10540,94.84,58.62,153.45,80,191.81%,32.7,2010
Stardust,Paramount,76,86,Quest,Adventure,2540,3610,38.63,96.92,135.56,70,193.66%,9.16,2007
Dragonball Evolution ,,15,28,Quest,Action,2181,2181,9.36,48.87,58.23,30,194.00%,4.8,2009
Race to Witch Mountain ,,42,50,Quest,Action,3187,7651,67.17,37.93,105.1,50,210.00%,24.4,2009
Hanna,Universal,71,67,Quest,Action,2535,4880,40.26,23.52,63.78,30,212.60%,12.37,2011
The Last Airbender,Paramount,6,42,Quest,Action,3169,12725,131.77,187.35,319.12,150,212.75%,40.3,2010
Puss In Boots,DreamWorks,83,76,Quest,Animation,3952,8623,142.09,142.3,284.39,130,218.76%,34.08,2011
The Mummy: Tomb of the Dragon Emperor,,14,40,Quest,Action,3760,10760,102.28,,393.2,175,224.69%,40.5,2008
Dolphin Tale,Independent,84,81,Quest,Drama,3507,5461,71.08,16.86,87.95,37,237.69%,19.15,2011
Milk,Universal,94,88,Quest,Biography,36,40385,31.84,18.32,50.16,20,250.80%,1.5,2008
The Chronicles of Narnia: The Voyage of the Dawn Treader,Fox,49,63,Quest,Adventure,3555,6752,104,311,415.68,155,268.18%,24,2010
Spy Kids: All The Time in the World,Weinstein Company,22,40,Quest,Action,3295,3534,38.54,35.54,74.08,27,274.37%,11.64,2011
Night at the Museum: Battle of the Smithsonian ,Fox,43,60,Quest,Action,4096,13226,177.2,235.8,413,150,275.00%,54.2,2009
The Bank Job,Independent,78,74,Quest,Thriller,1603,3702,30.06,34.76,63.8,20,319.00%,5.94,2008
Sanctum,Relativity Media,30,39,Quest,Action,2787,3390,23.2,85.4,108.6,30,362.00%,9.4,2011
Into the Wild,Paramount,82,90,Quest,Drama,658,3249,18.35,37.28,55.63,15,370.90%,2.1,2007
Harry Potter and the Half-Blood Prince ,Warner Bros.,83,75,Quest,Adventure,4325,17997,302,632,934,250,374.00%,77.8,2009
I Am Legend,Warner Bros.,69,69,Quest,Thriller,3606,21411,256.39,327.76,584.16,150,389.44%,77.2,2007
Winter's Bone,Independent,94,73,Quest,Drama,,,6.25,1.54,7.8,2,390.00%,0.8,2010
Clash of the Titans,Warner Bros.,28,48,Quest,Action,3777,16213,163.21,330,493.21,125,394.57%,61.2,2010
Sicko,The Weinstein Company,93,87,Quest,Documentary,702,5128,24.54,11.23,35.77,9,397.42%,3.6,2007
